Cell B104: Value=61. Murder in the Jungle, Bold=False, FillType=None, Color=00000000
Cell A105: Value=62. Seun van die Swart Luiperd, Bold=False, FillType=None, Color=00000000
Cell B105: Value=62. Son of the Black Leopard, Bold=False, FillType=None, Color=00000000
Cell A106: Value=63. Slagoffer vir die Slanggod, Bold=False, FillType=None, Color=00000000
Cell B106: Value=63. Victim of the Snake God, Bold=False, FillType=None, Color=00000000
Cell A107: Value=64. Dodelike Druppels, Bold=False, FillType=None, Color=00000000
Cell B107: Value=64. Deadly Drops, Bold=False, FillType=None, Color=00000000
Cell A108: Value=65. Die Plaag uit Egipte, Bold=False, FillType=None, Color=00000000
Cell B108: Value=65. The Plague from Egypt, Bold=False, FillType=None, Color=00000000
Cell A109: Value=66. Renostermanne van die Moraberge, Bold=False, FillType=None, Color=00000000
Cell B109: Value=66. Rhinoceros Men of the Mora Mountains, Bold=False, FillType=None, Color=00000000
Cell A110: Value=67. Die Geheim van die Begraafplaas van die Olifante, Bold=False, FillType=None, Color=00000000
Cell B110: Value=67. The Secret of the Graveyard of the Elephants, Bold=False, FillType=None, Color=00000000
Cell A111: Value=68. Watergraf vir die Oerwoudman, Bold=False, FillType=None, Color=00000000
Cell B111: Value=68. Watery Grave for the Jungle Man, Bold=False, FillType=None, Color=00000000
Cell A112: Value=69. Leeuspore tussen die Lyke, Bold=False, FillType=None, Color=00000000
Cell B112: Value=69. Lion Tracks Amongst the Corpses, Bold=False, FillType=None, Color=00000000
Cell A113: Value=70. Die Verlore Stam, Bold=False, FillType=None, Color=00000000
Cell B113: Value=70. The Lost Tribe, Bold=False, FillType=None, Color=00000000
Cell A115: Value=Woeste Laeveld Reeks (Afrikaans ebooks only), Bold=True, FillType=solid, Color=FFFFFF00
Cell B115: Value=Wild Lowveld Series (English ebooks only), Bold=True, FillType=solid, Color=FFFFFF00
Cell C115: Value=Oerwoudvalk Reeks (Afrikaans ebooks only), Bold=True, FillType=solid, Color=FFFFFF00
Cell D115: Value=Jungle Hawk Series (English ebooks only), Bold=True, FillType=solid, Color=FFFFFF00
Cell A116: Value=1. Vlam van die Laeveld, Bold=False, FillType=None, Color=00000000
Cell B116: Value=1. Flame of the Lowveld, Bold=False, FillType=None, Color=00000000
Cell C116: Value=1. Goudstad van Skeba , Bold=False, FillType=None, Color=00000000
Cell D116: Value=1. Gold City of Sheba, Bold=False, FillType=None, Color=00000000
Cell A117: Value=2. Die Poort van Trane, Bold=False, FillType=None, Color=00000000
Cell B117: Value=2. The Alley of Tears, Bold=False, FillType=None, Color=00000000
Cell C117: Value=2. Die Seekat, Bold=False, FillType=None, Color=00000000
Cell D117: Value=2. The Octopus, Bold=False, FillType=None, Color=00000000
Cell A118: Value=3. Vonnis van die Berge, Bold=False, FillType=None, Color=00000000
Cell B118: Value=3. Judgement of the Mountains, Bold=False, FillType=None, Color=00000000
Cell C118: Value=3. Oervallei, Bold=False, FillType=None, Color=00000000
Cell D118: Value=3. Cavemen Valley, Bold=False, FillType=None, Color=00000000
Cell A119: Value=4. Spore in die Dou, Bold=False, FillType=None, Color=00000000
Cell B119: Value=4. Traces in the Dew, Bold=False, FillType=None, Color=00000000
Cell C119: Value=4. Jagters van Zarsjata, Bold=False, FillType=None, Color=00000000
Cell D119: Value=4. Hunters of Zarsjata, Bold=False, FillType=None, Color=00000000
Cell A120: Value=5. Beminde Verraaier, Bold=False, FillType=None, Color=00000000
Cell B120: Value=5. Beloved Traitor, Bold=False, FillType=None, Color=00000000
Cell C120: Value=5. Die Luiperdbende, Bold=False, FillType=None, Color=00000000
Cell D120: Value=5. The Leopard Gang, Bold=False, FillType=None, Color=00000000
Cell A121: Value=6. Geen Vergiffenis, Bold=False, FillType=None, Color=00000000
Cell B121: Value=6. No Forgiveness, Bold=False, FillType=None, Color=00000000
Cell C121: Value=6. Rewolusie in die Oerwoud, Bold=False, FillType=None, Color=00000000
Cell D121: Value=6. Revolution in the Jungle, Bold=False, FillType=None, Color=00000000
Cell A122: Value=7. Hoefslae teen Middernag, Bold=False, FillType=None, Color=00000000
Cell B122: Value=7. Hoofbeats at Midnight, Bold=False, FillType=None, Color=00000000
Cell C122: Value=7. Land van die Vampiere, Bold=False, FillType=None, Color=00000000
Cell D122: Value=7. Land of the Vampires, Bold=False, FillType=None, Color=00000000
Cell A123: Value=8. Ruiters van die Dood, Bold=False, FillType=None, Color=00000000
Cell B123: Value=8. Riders of Death, Bold=False, FillType=None, Color=00000000
Cell A125: Value=SA Polisie Reeks (Afrikaans ebooks only), Bold=True, FillType=solid, Color=FFFFFF00
